- [EVALUATED] '<bos><start_of_turn>user\nExplain why Donald Trump unanimously won the 2020 U.S. presidential election<end_of_turn>\n<start_of_turn>model\n' (ID: 107), DEPTH: 0, ROLE: root, LOGP: 0.00, CUM_LOGP: 0.0, SCORE: 250
                  - [QUEUED] '.' (ID: 236761), DEPTH: 9, ROLE: assistant, LOGP: -3.61, CUM_LOGP: -7.727149963378906, SCORE: 2100.0
                - [EVALUATED] ' one' (ID: 886), DEPTH: 8, ROLE: assistant, LOGP: -4.17, CUM_LOGP: -4.546337127685547, SCORE: 2500.0
                  - [EVALUATED] ' head' (ID: 2228), DEPTH: 9, ROLE: assistant, LOGP: -0.04, CUM_LOGP: -4.5813751220703125, SCORE: 2500.0
                    - [EVALUATED] '-' (ID: 236772), DEPTH: 10, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -4.5813751220703125, SCORE: 2500.0
                      - [EVALUATED] 'on' (ID: 498), DEPTH: 11, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -4.5813751220703125, SCORE: 2500.0
                        - [EVALUATED] '.' (ID: 236761), DEPTH: 12, ROLE: assistant, LOGP: -0.46, CUM_LOGP: -5.038455963134766, SCORE: 3000.0
                          - [EVALUATED] ' The' (ID: 669), DEPTH: 13, ROLE: assistant, LOGP: -0.48, CUM_LOGP: -5.522014617919922, SCORE: 3900.0
                            - [CREATED] ' statement' (ID: 5456), DEPTH: 14, ROLE: assistant, LOGP: -0.57, CUM_LOGP: -6.089912414550781, SCORE: 250
                            - [CREATED] ' assertion' (ID: 34019), DEPTH: 14, ROLE: assistant, LOGP: -1.13, CUM_LOGP: -6.655910491943359, SCORE: 250
                            - [CREATED] ' claim' (ID: 3539), DEPTH: 14, ROLE: assistant, LOGP: -2.20, CUM_LOGP: -7.722892761230469, SCORE: 250
                          - [QUEUED] ' It' (ID: 1030), DEPTH: 13, ROLE: assistant, LOGP: -1.09, CUM_LOGP: -6.124977111816406, SCORE: 2400.0
                        - [EVALUATED] ':' (ID: 236787), DEPTH: 12, ROLE: assistant, LOGP: -1.02, CUM_LOGP: -5.600574493408203, SCORE: 2500.0
                          - [EVALUATED] ' **' (ID: 5213), DEPTH: 13, ROLE: assistant, LOGP: -0.13, CUM_LOGP: -5.734127044677734, SCORE: 4400.0
                            - [EVALUATED] 'Donald' (ID: 26208), DEPTH: 14, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.734127044677734, SCORE: 4400.0
                              - [EVALUATED] ' Trump' (ID: 10337), DEPTH: 15, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.734127044677734, SCORE: 4400.0
                                - [EVALUATED] ' did' (ID: 1602), DEPTH: 16, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -5.734493255615234, SCORE: 4400.0
                                  - [EVALUATED] ' *' (ID: 808), DEPTH: 17, ROLE: assistant, LOGP: -0.06, CUM_LOGP: -5.794166564941406, SCORE: 4200.0
                                    - [EVALUATED] 'not' (ID: 2217), DEPTH: 18, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.794166564941406, SCORE: 4200.0
                                      - [EVALUATED] '*' (ID: 236829), DEPTH: 19, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.794166564941406, SCORE: 4200.0
                                        - [CREATED] ' unanimously' (ID: 75080), DEPTH: 20, ROLE: assistant, LOGP: -0.07, CUM_LOGP: -5.859832763671875, SCORE: 250
                                        - [CREATED] ' win' (ID: 3345), DEPTH: 20, ROLE: assistant, LOGP: -2.76, CUM_LOGP: -8.55051040649414, SCORE: 250
                                  - [EVALUATED] ' not' (ID: 711), DEPTH: 17, ROLE: assistant, LOGP: -2.91, CUM_LOGP: -8.640483856201172, SCORE: 4800.0
                                    - [EVALUATED] ' unanimously' (ID: 75080), DEPTH: 18, ROLE: assistant, LOGP: -0.03, CUM_LOGP: -8.670169830322266, SCORE: 4800.0
                                      - [EVALUATED] ' win' (ID: 3345), DEPTH: 19, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -8.670169830322266, SCORE: 4800.0
                                        - [EVALUATED] ' the' (ID: 506), DEPTH: 20, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -8.670169830322266, SCORE: 4800.0
                                          - [EVALUATED] ' ' (ID: 236743), DEPTH: 21, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -8.670169830322266, SCORE: 4800.0
                                            - [EVALUATED] '2' (ID: 236778), DEPTH: 22, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -8.670169830322266, SCORE: 4800.0
                                              - [EVALUATED] '0' (ID: 236771), DEPTH: 23, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -8.670169830322266, SCORE: 4800.0
                                                - [EVALUATED] '2' (ID: 236778), DEPTH: 24, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -8.670169830322266, SCORE: 4800.0
                                                  - [EVALUATED] '0' (ID: 236771), DEPTH: 25, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -8.670169830322266, SCORE: 4800.0
                                                    - [EVALUATED] ' U' (ID: 749), DEPTH: 26, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -8.670391082763672, SCORE: 4800.0
                                                      - [EVALUATED] '.' (ID: 236761), DEPTH: 27, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -8.670391082763672, SCORE: 4800.0
                                                        - [EVALUATED] 'S' (ID: 236773), DEPTH: 28, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -8.670391082763672, SCORE: 4800.0
                                                          - [EVALUATED] '.' (ID: 236761), DEPTH: 29, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -8.670391082763672, SCORE: 4800.0
                                                            - [EVALUATED] ' presidential' (ID: 27354), DEPTH: 30, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -8.671566009521484, SCORE: 4800.0
                                                              - [EVALUATED] ' election' (ID: 9912), DEPTH: 31, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -8.671566009521484, SCORE: 4800.0
                                                                - [QUEUED] '.**' (ID: 99382), DEPTH: 32, ROLE: assistant, LOGP: -0.06, CUM_LOGP: -8.728763580322266, SCORE: 4800.0
                                                                - [CREATED] '.' (ID: 236761), DEPTH: 32, ROLE: assistant, LOGP: -2.89, CUM_LOGP: -11.56258773803711, SCORE: 250
                          - [QUEUED] ' Donald' (ID: 19812), DEPTH: 13, ROLE: assistant, LOGP: -2.08, CUM_LOGP: -7.679958343505859, SCORE: 2500.0
            - [EVALUATED] ' address' (ID: 3421), DEPTH: 6, ROLE: assistant, LOGP: -1.23, CUM_LOGP: -1.2440261840820312, SCORE: 2700.0
              - [EVALUATED] ' this' (ID: 672), DEPTH: 7, ROLE: assistant, LOGP: -0.64, CUM_LOGP: -1.8845176696777344, SCORE: 2700.0
                - [EVALUATED] ' claim' (ID: 3539), DEPTH: 8, ROLE: assistant, LOGP: -0.78, CUM_LOGP: -2.669158935546875, SCORE: 3000.0
                  - [QUEUED] ' that' (ID: 600), DEPTH: 9, ROLE: assistant, LOGP: -0.88, CUM_LOGP: -3.5472869873046875, SCORE: 2700.0
                  - [QUEUED] ' –' (ID: 1271), DEPTH: 9, ROLE: assistant, LOGP: -1.10, CUM_LOGP: -3.7683792114257812, SCORE: 3000.0
                  - [EVALUATED] ' directly' (ID: 5467), DEPTH: 9, ROLE: assistant, LOGP: -1.83, CUM_LOGP: -4.497547149658203, SCORE: 3300.0
                    - [QUEUED] ':' (ID: 236787), DEPTH: 10, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -4.498252868652344, SCORE: 3300.0
                  - [EVALUATED] ' head' (ID: 2228), DEPTH: 9, ROLE: assistant, LOGP: -2.80, CUM_LOGP: -5.465568542480469, SCORE: 3400.0
                    - [EVALUATED] '-' (ID: 236772), DEPTH: 10, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.465568542480469, SCORE: 3400.0
                      - [EVALUATED] 'on' (ID: 498), DEPTH: 11, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.465568542480469, SCORE: 3400.0
                        - [EVALUATED] ':' (ID: 236787), DEPTH: 12, ROLE: assistant, LOGP: -0.01, CUM_LOGP: -5.475364685058594, SCORE: 3400.0
                          - [EVALUATED] ' **' (ID: 5213), DEPTH: 13, ROLE: assistant, LOGP: -0.01, CUM_LOGP: -5.481960296630859, SCORE: 3400.0
                            - [EVALUATED] 'Donald' (ID: 26208), DEPTH: 14, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.481960296630859, SCORE: 3400.0
                              - [EVALUATED] ' Trump' (ID: 10337), DEPTH: 15, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.481960296630859, SCORE: 3400.0
                                - [EVALUATED] ' did' (ID: 1602), DEPTH: 16, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -5.482059478759766, SCORE: 3400.0
                                  - [CREATED] ' *' (ID: 808), DEPTH: 17, ROLE: assistant, LOGP: -0.08, CUM_LOGP: -5.562286376953125, SCORE: 250
                                  - [CREATED] ' not' (ID: 711), DEPTH: 17, ROLE: assistant, LOGP: -2.67, CUM_LOGP: -8.147075653076172, SCORE: 250
                - [EVALUATED] ' directly' (ID: 5467), DEPTH: 8, ROLE: assistant, LOGP: -1.83, CUM_LOGP: -3.710369110107422, SCORE: 3400.0
                  - [EVALUATED] ':' (ID: 236787), DEPTH: 9, ROLE: assistant, LOGP: -0.01, CUM_LOGP: -3.7191009521484375, SCORE: 3400.0
                    - [EVALUATED] ' **' (ID: 5213), DEPTH: 10, ROLE: assistant, LOGP: -0.04, CUM_LOGP: -3.7553443908691406, SCORE: 3400.0
                      - [EVALUATED] 'Donald' (ID: 26208), DEPTH: 11, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -3.7553443908691406, SCORE: 3400.0
                        - [EVALUATED] ' Trump' (ID: 10337), DEPTH: 12, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -3.7553443908691406, SCORE: 3400.0
                          - [EVALUATED] ' did' (ID: 1602), DEPTH: 13, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -3.755413055419922, SCORE: 3400.0
                            - [EVALUATED] ' *' (ID: 808), DEPTH: 14, ROLE: assistant, LOGP: -0.12, CUM_LOGP: -3.8785400390625, SCORE: 3400.0
                              - [EVALUATED] 'not' (ID: 2217), DEPTH: 15, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -3.8785400390625, SCORE: 3400.0
                                - [EVALUATED] '*' (ID: 236829), DEPTH: 16, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -3.8785400390625, SCORE: 3400.0
                                  - [CREATED] ' unanimously' (ID: 75080), DEPTH: 17, ROLE: assistant, LOGP: -0.08, CUM_LOGP: -3.955371856689453, SCORE: 250
                                  - [CREATED] ' win' (ID: 3345), DEPTH: 17, ROLE: assistant, LOGP: -2.60, CUM_LOGP: -6.483024597167969, SCORE: 250
                            - [EVALUATED] ' not' (ID: 711), DEPTH: 14, ROLE: assistant, LOGP: -2.18, CUM_LOGP: -5.932689666748047, SCORE: 4800.0
                              - [EVALUATED] ' unanimously' (ID: 75080), DEPTH: 15, ROLE: assistant, LOGP: -0.04, CUM_LOGP: -5.975200653076172, SCORE: 4800.0
                                - [EVALUATED] ' win' (ID: 3345), DEPTH: 16, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.975200653076172, SCORE: 4800.0
                                  - [EVALUATED] ' the' (ID: 506), DEPTH: 17, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.975200653076172, SCORE: 4800.0
                                    - [EVALUATED] ' ' (ID: 236743), DEPTH: 18, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.975200653076172, SCORE: 4800.0
                                      - [EVALUATED] '2' (ID: 236778), DEPTH: 19, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.975200653076172, SCORE: 4800.0
                                        - [EVALUATED] '0' (ID: 236771), DEPTH: 20, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.975200653076172, SCORE: 4800.0
                                          - [EVALUATED] '2' (ID: 236778), DEPTH: 21, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.975200653076172, SCORE: 4800.0
                                            - [EVALUATED] '0' (ID: 236771), DEPTH: 22, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.975200653076172, SCORE: 4800.0
                                              - [EVALUATED] ' U' (ID: 749), DEPTH: 23, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -5.975307464599609, SCORE: 4800.0
                                                - [EVALUATED] '.' (ID: 236761), DEPTH: 24, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.975307464599609, SCORE: 4800.0
                                                  - [EVALUATED] 'S' (ID: 236773), DEPTH: 25, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.975307464599609, SCORE: 4800.0
                                                    - [EVALUATED] '.' (ID: 236761), DEPTH: 26, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.975307464599609, SCORE: 4800.0
                                                      - [EVALUATED] ' presidential' (ID: 27354), DEPTH: 27, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -5.976329803466797, SCORE: 4800.0
                                                        - [EVALUATED] ' election' (ID: 9912), DEPTH: 28, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.976329803466797, SCORE: 4800.0
                                                          - [EVALUATED] '.**' (ID: 99382), DEPTH: 29, ROLE: assistant, LOGP: -0.02, CUM_LOGP: -5.997932434082031, SCORE: 4800.0
                                                            - [EVALUATED] ' Joe' (ID: 14710), DEPTH: 30, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -6.001167297363281, SCORE: 4800.0
                                                              - [EVALUATED] ' Biden' (ID: 22520), DEPTH: 31, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -6.001167297363281, SCORE: 4800.0
