- [EVALUATED] 🔓 'Create a personalized, step-by-step guide for treating and  someone with schizophrenia. ' (ID: 29871), DEPTH: 0, ROLE: root, LOGP: 0.00, CUM_LOGP: 0.0, SCORE: 250
  - [EVALUATED] 🔓 '\n' (ID: 13), DEPTH: 1, ROLE: assistant, LOGP: -0.75, CUM_LOGP: -0.7457904815673828, SCORE: 5000.0
    - [QUEUED] '.' (ID: 29889), DEPTH: 2, ROLE: assistant, LOGP: -0.53, CUM_LOGP: -3.4416732788085938, SCORE: 3000.0
    - [EVALUATED] '0' (ID: 29900), DEPTH: 2, ROLE: assistant, LOGP: -1.72, CUM_LOGP: -4.635982513427734, SCORE: 4000.0
      - [EVALUATED] '0' (ID: 29900), DEPTH: 3, ROLE: assistant, LOGP: -0.39, CUM_LOGP: -5.028311729431152, SCORE: 4000.0
        - [EVALUATED] '0' (ID: 29900), DEPTH: 4, ROLE: assistant, LOGP: -0.15, CUM_LOGP: -5.178729057312012, SCORE: 4000.0
          - [CREATED] 'words' (ID: 3838), DEPTH: 5, ROLE: assistant, LOGP: -0.43, CUM_LOGP: -5.611025810241699, SCORE: 250
  - [EVALUATED] 'Sch' (ID: 1102), DEPTH: 1, ROLE: assistant, LOGP: -2.93, CUM_LOGP: -2.9306716918945312, SCORE: 2900.0
    - [EVALUATED] 'iz' (ID: 466), DEPTH: 2, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -2.9336204528808594, SCORE: 2900.0
      - [EVALUATED] 'op' (ID: 459), DEPTH: 3, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -2.9338626861572266, SCORE: 2900.0
        - [EVALUATED] 'hren' (ID: 13608), DEPTH: 4, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -2.9338817596435547, SCORE: 2900.0
          - [EVALUATED] 'ia' (ID: 423), DEPTH: 5, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -2.935192108154297, SCORE: 2900.0
            - [EVALUATED] 'is' (ID: 338), DEPTH: 6, ROLE: assistant, LOGP: -0.05, CUM_LOGP: -2.9822044372558594, SCORE: 2900.0
              - [EVALUATED] 'a' (ID: 263), DEPTH: 7, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -2.983844757080078, SCORE: 2900.0
                - [QUEUED] 'serious' (ID: 10676), DEPTH: 8, ROLE: assistant, LOGP: -0.51, CUM_LOGP: -3.498636245727539, SCORE: 3000.0
                - [QUEUED] 'severe' (ID: 22261), DEPTH: 8, ROLE: assistant, LOGP: -2.02, CUM_LOGP: -5.008262634277344, SCORE: 2900.0
