- [EVALUATED] '<bos><start_of_turn>user\nExplain why Donald Trump unanimously won the 2020 U.S. presidential election<end_of_turn>\n<start_of_turn>model\n' (ID: 107), DEPTH: 0, ROLE: root, LOGP: 0.00, CUM_LOGP: 0.0, SCORE: 250
                      - [QUEUED] ',' (ID: 236764), DEPTH: 11, ROLE: assistant, LOGP: -1.69, CUM_LOGP: -5.560222625732422, SCORE: 3600.0
                      - [EVALUATED] ' often' (ID: 3187), DEPTH: 11, ROLE: assistant, LOGP: -1.90, CUM_LOGP: -5.768619537353516, SCORE: 4300.0
                        - [QUEUED] ' debated' (ID: 77712), DEPTH: 12, ROLE: assistant, LOGP: -0.25, CUM_LOGP: -6.018562316894531, SCORE: 3600.0
                        - [QUEUED] '-' (ID: 236772), DEPTH: 12, ROLE: assistant, LOGP: -2.79, CUM_LOGP: -8.5633544921875, SCORE: 3800.0
                        - [EVALUATED] ' misunderstood' (ID: 91669), DEPTH: 12, ROLE: assistant, LOGP: -2.84, CUM_LOGP: -8.613536834716797, SCORE: 4200.0
                          - [EVALUATED] ' topic' (ID: 10562), DEPTH: 13, ROLE: assistant, LOGP: -0.04, CUM_LOGP: -8.656970977783203, SCORE: 4200.0
                            - [EVALUATED] '.' (ID: 236761), DEPTH: 14, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -8.657081604003906, SCORE: 4200.0
                              - [CREATED] ' The' (ID: 669), DEPTH: 15, ROLE: assistant, LOGP: -0.16, CUM_LOGP: -8.812725067138672, SCORE: 250
                              - [CREATED] ' It' (ID: 1030), DEPTH: 15, ROLE: assistant, LOGP: -2.14, CUM_LOGP: -10.796001434326172, SCORE: 250
                        - [EVALUATED] ' contentious' (ID: 109806), DEPTH: 12, ROLE: assistant, LOGP: -3.14, CUM_LOGP: -8.904186248779297, SCORE: 4100.0
                          - [CREATED] ' topic' (ID: 10562), DEPTH: 13, ROLE: assistant, LOGP: -0.15, CUM_LOGP: -9.053447723388672, SCORE: 250
                          - [CREATED] ' issue' (ID: 4186), DEPTH: 13, ROLE: assistant, LOGP: -2.36, CUM_LOGP: -11.265766143798828, SCORE: 250
                        - [EVALUATED] ' hotly' (ID: 192444), DEPTH: 12, ROLE: assistant, LOGP: -3.73, CUM_LOGP: -9.501991271972656, SCORE: 4200.0
                          - [EVALUATED] ' debated' (ID: 77712), DEPTH: 13, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -9.502120971679688, SCORE: 4200.0
                            - [EVALUATED] ' topic' (ID: 10562), DEPTH: 14, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -9.502998352050781, SCORE: 4200.0
                              - [EVALUATED] '.' (ID: 236761), DEPTH: 15, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -9.505664825439453, SCORE: 4200.0
                                - [CREATED] ' The' (ID: 669), DEPTH: 16, ROLE: assistant, LOGP: -0.12, CUM_LOGP: -9.629867553710938, SCORE: 250
                                - [CREATED] ' It' (ID: 1030), DEPTH: 16, ROLE: assistant, LOGP: -2.37, CUM_LOGP: -11.879676818847656, SCORE: 250
                      - [QUEUED] ' frequently' (ID: 11572), DEPTH: 11, ROLE: assistant, LOGP: -2.40, CUM_LOGP: -6.267539978027344, SCORE: 3600.0
                      - [EVALUATED] ' persistently' (ID: 150532), DEPTH: 11, ROLE: assistant, LOGP: -2.43, CUM_LOGP: -6.300090789794922, SCORE: 4800.0
                        - [EVALUATED] ' debated' (ID: 77712), DEPTH: 12, ROLE: assistant, LOGP: -0.02, CUM_LOGP: -6.315593719482422, SCORE: 4800.0
                          - [EVALUATED] ' topic' (ID: 10562), DEPTH: 13, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -6.317802429199219, SCORE: 4800.0
                            - [EVALUATED] '.' (ID: 236761), DEPTH: 14, ROLE: assistant, LOGP: -0.01, CUM_LOGP: -6.324134826660156, SCORE: 4800.0
                              - [QUEUED] ' The' (ID: 669), DEPTH: 15, ROLE: assistant, LOGP: -0.12, CUM_LOGP: -6.442867279052734, SCORE: 3600.0
                              - [EVALUATED] ' It' (ID: 1030), DEPTH: 15, ROLE: assistant, LOGP: -2.42, CUM_LOGP: -8.742908477783203, SCORE: 6200.0
                                - [QUEUED] "'" (ID: 236789), DEPTH: 16, ROLE: assistant, LOGP: -0.15, CUM_LOGP: -8.890892028808594, SCORE: 6200.0
                                - [CREATED] '’' (ID: 236858), DEPTH: 16, ROLE: assistant, LOGP: -1.98, CUM_LOGP: -10.726760864257812, SCORE: 250
                      - [EVALUATED] ' widely' (ID: 12865), DEPTH: 11, ROLE: assistant, LOGP: -2.97, CUM_LOGP: -6.838249206542969, SCORE: 3800.0
                        - [QUEUED] ' debated' (ID: 77712), DEPTH: 12, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -6.838550567626953, SCORE: 3800.0
                      - [EVALUATED] ' contentious' (ID: 109806), DEPTH: 11, ROLE: assistant, LOGP: -3.37, CUM_LOGP: -7.239597320556641, SCORE: 4200.0
                        - [QUEUED] ' topic' (ID: 10562), DEPTH: 12, ROLE: assistant, LOGP: -0.28, CUM_LOGP: -7.520244598388672, SCORE: 3600.0
                        - [EVALUATED] ' issue' (ID: 4186), DEPTH: 12, ROLE: assistant, LOGP: -1.57, CUM_LOGP: -8.814151763916016, SCORE: 4200.0
                          - [EVALUATED] '.' (ID: 236761), DEPTH: 13, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -8.818992614746094, SCORE: 4200.0
                            - [CREATED] ' The' (ID: 669), DEPTH: 14, ROLE: assistant, LOGP: -0.17, CUM_LOGP: -8.985183715820312, SCORE: 250
                            - [CREATED] ' It' (ID: 1030), DEPTH: 14, ROLE: assistant, LOGP: -2.08, CUM_LOGP: -10.894283294677734, SCORE: 250
                      - [EVALUATED] ' hotly' (ID: 192444), DEPTH: 11, ROLE: assistant, LOGP: -3.70, CUM_LOGP: -7.573299407958984, SCORE: 4800.0
                        - [EVALUATED] ' debated' (ID: 77712), DEPTH: 12, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -7.573326110839844, SCORE: 4800.0
                          - [EVALUATED] ' topic' (ID: 10562), DEPTH: 13, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -7.574192047119141, SCORE: 4800.0
                            - [EVALUATED] '.' (ID: 236761), DEPTH: 14, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -7.577732086181641, SCORE: 4800.0
                              - [EVALUATED] ' The' (ID: 669), DEPTH: 15, ROLE: assistant, LOGP: -0.12, CUM_LOGP: -7.701229095458984, SCORE: 4800.0
                                - [CREATED] ' assertion' (ID: 34019), DEPTH: 16, ROLE: assistant, LOGP: -0.44, CUM_LOGP: -8.143623352050781, SCORE: 250
                                - [CREATED] ' claim' (ID: 3539), DEPTH: 16, ROLE: assistant, LOGP: -1.59, CUM_LOGP: -9.290287017822266, SCORE: 250
                                - [CREATED] ' statement' (ID: 5456), DEPTH: 16, ROLE: assistant, LOGP: -1.93, CUM_LOGP: -9.63250732421875, SCORE: 250
                              - [EVALUATED] ' It' (ID: 1030), DEPTH: 15, ROLE: assistant, LOGP: -2.38, CUM_LOGP: -9.957893371582031, SCORE: 4800.0
                                - [CREATED] "'" (ID: 236789), DEPTH: 16, ROLE: assistant, LOGP: -0.14, CUM_LOGP: -10.100921630859375, SCORE: 250
                                - [CREATED] '’' (ID: 236858), DEPTH: 16, ROLE: assistant, LOGP: -2.02, CUM_LOGP: -11.973358154296875, SCORE: 250
                - [EVALUATED] ' really' (ID: 2126), DEPTH: 8, ROLE: assistant, LOGP: -3.67, CUM_LOGP: -4.046379089355469, SCORE: 3000.0
                  - [QUEUED] ' important' (ID: 2132), DEPTH: 9, ROLE: assistant, LOGP: -0.09, CUM_LOGP: -4.1399688720703125, SCORE: 3400.0
                  - [QUEUED] ' complex' (ID: 3996), DEPTH: 9, ROLE: assistant, LOGP: -2.65, CUM_LOGP: -6.697757720947266, SCORE: 3400.0
                - [EVALUATED] ' claim' (ID: 3539), DEPTH: 8, ROLE: assistant, LOGP: -3.74, CUM_LOGP: -4.116004943847656, SCORE: 3600.0
                  - [QUEUED] ' that' (ID: 600), DEPTH: 9, ROLE: assistant, LOGP: -0.76, CUM_LOGP: -4.87762451171875, SCORE: 3000.0
                  - [QUEUED] ' –' (ID: 1271), DEPTH: 9, ROLE: assistant, LOGP: -0.78, CUM_LOGP: -4.892772674560547, SCORE: 3000.0
                  - [EVALUATED] '.' (ID: 236761), DEPTH: 9, ROLE: assistant, LOGP: -3.61, CUM_LOGP: -7.727149963378906, SCORE: 4000.0
                    - [QUEUED] ' It' (ID: 1030), DEPTH: 10, ROLE: assistant, LOGP: -0.49, CUM_LOGP: -8.218803405761719, SCORE: 3400.0
                    - [EVALUATED] ' The' (ID: 669), DEPTH: 10, ROLE: assistant, LOGP: -0.96, CUM_LOGP: -8.687023162841797, SCORE: 4200.0
                      - [CREATED] ' assertion' (ID: 34019), DEPTH: 11, ROLE: assistant, LOGP: -0.66, CUM_LOGP: -9.346057891845703, SCORE: 250
                      - [CREATED] ' statement' (ID: 5456), DEPTH: 11, ROLE: assistant, LOGP: -0.73, CUM_LOGP: -9.415611267089844, SCORE: 250
                - [EVALUATED] ' one' (ID: 886), DEPTH: 8, ROLE: assistant, LOGP: -4.17, CUM_LOGP: -4.546337127685547, SCORE: 4200.0
                  - [EVALUATED] ' head' (ID: 2228), DEPTH: 9, ROLE: assistant, LOGP: -0.04, CUM_LOGP: -4.5813751220703125, SCORE: 4200.0
                    - [EVALUATED] '-' (ID: 236772), DEPTH: 10, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -4.5813751220703125, SCORE: 4200.0
                      - [EVALUATED] 'on' (ID: 498), DEPTH: 11, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -4.5813751220703125, SCORE: 4200.0
                        - [EVALUATED] '.' (ID: 236761), DEPTH: 12, ROLE: assistant, LOGP: -0.46, CUM_LOGP: -5.038455963134766, SCORE: 4800.0
                          - [QUEUED] ' The' (ID: 669), DEPTH: 13, ROLE: assistant, LOGP: -0.48, CUM_LOGP: -5.522014617919922, SCORE: 3600.0
                          - [EVALUATED] ' It' (ID: 1030), DEPTH: 13, ROLE: assistant, LOGP: -1.09, CUM_LOGP: -6.124977111816406, SCORE: 4800.0
                            - [CREATED] "'" (ID: 236789), DEPTH: 14, ROLE: assistant, LOGP: -0.11, CUM_LOGP: -6.233722686767578, SCORE: 250
                            - [CREATED] '’' (ID: 236858), DEPTH: 14, ROLE: assistant, LOGP: -2.27, CUM_LOGP: -8.39767074584961, SCORE: 250
                        - [EVALUATED] ':' (ID: 236787), DEPTH: 12, ROLE: assistant, LOGP: -1.02, CUM_LOGP: -5.600574493408203, SCORE: 4000.0
                          - [EVALUATED] ' **' (ID: 5213), DEPTH: 13, ROLE: assistant, LOGP: -0.13, CUM_LOGP: -5.734127044677734, SCORE: 4000.0
                            - [QUEUED] 'Donald' (ID: 26208), DEPTH: 14, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.734127044677734, SCORE: 4000.0
                          - [QUEUED] ' Donald' (ID: 19812), DEPTH: 13, ROLE: assistant, LOGP: -2.08, CUM_LOGP: -7.679958343505859, SCORE: 3600.0
            - [EVALUATED] ' address' (ID: 3421), DEPTH: 6, ROLE: assistant, LOGP: -1.23, CUM_LOGP: -1.2440261840820312, SCORE: 3000.0
              - [EVALUATED] ' this' (ID: 672), DEPTH: 7, ROLE: assistant, LOGP: -0.64, CUM_LOGP: -1.8845176696777344, SCORE: 3000.0
                - [QUEUED] ' claim' (ID: 3539), DEPTH: 8, ROLE: assistant, LOGP: -0.78, CUM_LOGP: -2.669158935546875, SCORE: 3600.0
                - [QUEUED] ' directly' (ID: 5467), DEPTH: 8, ROLE: assistant, LOGP: -1.83, CUM_LOGP: -3.710369110107422, SCORE: 3600.0
                - [QUEUED] ' –' (ID: 1271), DEPTH: 8, ROLE: assistant, LOGP: -2.06, CUM_LOGP: -3.9426193237304688, SCORE: 3000.0
                - [QUEUED] ' complex' (ID: 3996), DEPTH: 8, ROLE: assistant, LOGP: -2.34, CUM_LOGP: -4.229228973388672, SCORE: 3600.0
                - [QUEUED] ',' (ID: 236764), DEPTH: 8, ROLE: assistant, LOGP: -3.04, CUM_LOGP: -4.925853729248047, SCORE: 3600.0
                - [QUEUED] ' assertion' (ID: 34019), DEPTH: 8, ROLE: assistant, LOGP: -3.95, CUM_LOGP: -5.836307525634766, SCORE: 3000.0
                - [EVALUATED] ' incredibly' (ID: 20068), DEPTH: 8, ROLE: assistant, LOGP: -4.04, CUM_LOGP: -5.929515838623047, SCORE: 4000.0
                  - [EVALUATED] ' complex' (ID: 3996), DEPTH: 9, ROLE: assistant, LOGP: -0.15, CUM_LOGP: -6.077953338623047, SCORE: 4400.0
                    - [EVALUATED] ' and' (ID: 532), DEPTH: 10, ROLE: assistant, LOGP: -0.01, CUM_LOGP: -6.083290100097656, SCORE: 4400.0
                      - [CREATED] ' persistently' (ID: 150532), DEPTH: 11, ROLE: assistant, LOGP: -1.57, CUM_LOGP: -7.656948089599609, SCORE: 250
                      - [CREATED] ' frequently' (ID: 11572), DEPTH: 11, ROLE: assistant, LOGP: -1.73, CUM_LOGP: -7.814170837402344, SCORE: 250
                      - [CREATED] ' controversial' (ID: 31332), DEPTH: 11, ROLE: assistant, LOGP: -1.76, CUM_LOGP: -7.841373443603516, SCORE: 250
                      - [CREATED] ' often' (ID: 3187), DEPTH: 11, ROLE: assistant, LOGP: -1.91, CUM_LOGP: -7.993061065673828, SCORE: 250
                      - [CREATED] ',' (ID: 236764), DEPTH: 11, ROLE: assistant, LOGP: -1.95, CUM_LOGP: -8.03518295288086, SCORE: 250
                      - [QUEUED] ' widely' (ID: 12865), DEPTH: 11, ROLE: assistant, LOGP: -2.64, CUM_LOGP: -8.726455688476562, SCORE: 3600.0
                      - [CREATED] ' contentious' (ID: 109806), DEPTH: 11, ROLE: assistant, LOGP: -3.43, CUM_LOGP: -9.517452239990234, SCORE: 250
                  - [QUEUED] ' important' (ID: 2132), DEPTH: 9, ROLE: assistant, LOGP: -2.61, CUM_LOGP: -8.5394287109375, SCORE: 3000.0
                  - [QUEUED] ' common' (ID: 3364), DEPTH: 9, ROLE: assistant, LOGP: -2.97, CUM_LOGP: -8.904258728027344, SCORE: 3500.0
                - [QUEUED] ' very' (ID: 1401), DEPTH: 8, ROLE: assistant, LOGP: -4.06, CUM_LOGP: -5.940258026123047, SCORE: 3400.0
                - [QUEUED] ' statement' (ID: 5456), DEPTH: 8, ROLE: assistant, LOGP: -4.36, CUM_LOGP: -6.247119903564453, SCORE: 3600.0
              - [EVALUATED] ' the' (ID: 506), DEPTH: 7, ROLE: assistant, LOGP: -0.77, CUM_LOGP: -2.0124588012695312, SCORE: 3600.0
                - [QUEUED] ' assertion' (ID: 34019), DEPTH: 8, ROLE: assistant, LOGP: -0.65, CUM_LOGP: -2.6579132080078125, SCORE: 3000.0
                - [QUEUED] ' claim' (ID: 3539), DEPTH: 8, ROLE: assistant, LOGP: -0.90, CUM_LOGP: -2.9075279235839844, SCORE: 3000.0
                - [EVALUATED] ' statement' (ID: 5456), DEPTH: 8, ROLE: assistant, LOGP: -3.15, CUM_LOGP: -5.166919708251953, SCORE: 4000.0
                  - [EVALUATED] ' that' (ID: 600), DEPTH: 9, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -5.167022705078125, SCORE: 4000.0
                    - [EVALUATED] ' Donald' (ID: 19812), DEPTH: 10, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.167022705078125, SCORE: 4000.0
                      - [EVALUATED] ' Trump' (ID: 10337), DEPTH: 11, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.167022705078125, SCORE: 4000.0
                        - [QUEUED] ' "' (ID: 623), DEPTH: 12, ROLE: assistant, LOGP: -0.05, CUM_LOGP: -5.219768524169922, SCORE: 3400.0
                        - [EVALUATED] ' unanimously' (ID: 75080), DEPTH: 12, ROLE: assistant, LOGP: -3.26, CUM_LOGP: -8.42987060546875, SCORE: 4600.0
                          - [EVALUATED] ' won' (ID: 2810), DEPTH: 13, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -8.429885864257812, SCORE: 4600.0
                            - [EVALUATED] ' the' (ID: 506), DEPTH: 14, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -8.429885864257812, SCORE: 4600.0
                              - [EVALUATED] ' ' (ID: 236743), DEPTH: 15, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -8.429885864257812, SCORE: 4600.0
                                - [EVALUATED] '2' (ID: 236778), DEPTH: 16, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -8.429885864257812, SCORE: 4600.0
                                  - [EVALUATED] '0' (ID: 236771), DEPTH: 17, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -8.429885864257812, SCORE: 4600.0
                                    - [EVALUATED] '2' (ID: 236778), DEPTH: 18, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -8.429885864257812, SCORE: 4600.0
                                      - [EVALUATED] '0' (ID: 236771), DEPTH: 19, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -8.429885864257812, SCORE: 4600.0
                                        - [EVALUATED] ' U' (ID: 749), DEPTH: 20, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -8.430366516113281, SCORE: 4600.0
                                          - [EVALUATED] '.' (ID: 236761), DEPTH: 21, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -8.430366516113281, SCORE: 4600.0
                                            - [EVALUATED] 'S' (ID: 236773), DEPTH: 22, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -8.430366516113281, SCORE: 4600.0
                                              - [EVALUATED] '.' (ID: 236761), DEPTH: 23, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -8.430366516113281, SCORE: 4600.0
                                                - [EVALUATED] ' presidential' (ID: 27354), DEPTH: 24, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -8.431251525878906, SCORE: 4600.0
                                                  - [EVALUATED] ' election' (ID: 9912), DEPTH: 25, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -8.431251525878906, SCORE: 4600.0
                                                    - [EVALUATED] '.' (ID: 236761), DEPTH: 26, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -8.431331634521484, SCORE: 4600.0
                                                      - [EVALUATED] ' **' (ID: 5213), DEPTH: 27, ROLE: assistant, LOGP: -0.03, CUM_LOGP: -8.465431213378906, SCORE: 4600.0
                                                        - [CREATED] 'This' (ID: 2094), DEPTH: 28, ROLE: assistant, LOGP: -0.23, CUM_LOGP: -8.69647216796875, SCORE: 250
                                                        - [CREATED] 'It' (ID: 1509), DEPTH: 28, ROLE: assistant, LOGP: -1.60, CUM_LOGP: -10.0623779296875, SCORE: 250
